frame_number,original_frame_number,frame_with_full_frame
1,2,1
2,192,
12,267,
13,269,
14,271,
24,282,
38,326,38
39,333,
40,338,
42,347,
43,351,
46,376,
49,381,
50,386,
52,389,
53,391,
54,399,
57,404,
58,429,
59,596,
60,633,60
62,637,
67,643,
69,659,
70,661,
89,681,
106,951,106
108,954,
113,1015,
131,1087,
133,1091,
134,1093,
137,1097,
142,1104,
143,1107,
146,1111,
150,1118,
154,1123,
159,1129,
160,1131,
161,1133,
162,1136,
165,1141,
167,1147,
168,1150,
169,1152,
172,1156,
273,1258,273
280,1266,
292,1281,
294,1286,
300,1332,
301,1334,
309,1343,
330,1365,
334,1370,
340,1524,340
342,1527,
343,1529,
378,1654,
382,1659,
384,1663,
385,1668,
387,1671,
388,1673,
390,1676,
393,1680,
397,1685,
398,1687,
399,1690,
400,1692,
428,1721,
432,1726,
435,1730,
440,1736,
446,1743,
